,j#,name,pos,g,a,p,pim,ts,+/-,sog,ga,svs,game_id,team,matchup,year,gwg,minutes,gp,OGS,DGS,GGS,GS,FP
0,28,KALTSOU Kanstantsin,F,4,3,0,30,10,-4,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,5.625,-0.971714433839383,0.0,4.653285566160617,9.0
1,10,KURYLIN Yauhenni,F,2,5,7,2,20,-10,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,6.125,-1.6467144338393833,0.0,4.478285566160617,8.0
2,7,BELY Pavel,F,2,4,6,0,24,-3,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,5.8,-0.859214433839383,0.0,4.940785566160617,7.0
3,27,SHAVIALIOU Andrei,F,2,0,2,20,12,-9,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,2.4,-1.534214433839383,0.0,0.8657855661606169,3.0
4,30,AUSIANNIKAU Andrei,F,0,2,2,4,5,-1,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,1.625,-0.6342144338393831,0.0,0.9907855661606169,2.0
5,5,NAVITSKI Vadzim,D,0,2,2,4,7,-3,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,1.775,-1.718428867678766,0.0,0.0565711323212339,2.0
6,18,SLYSH Maksim,F,0,2,2,2,11,-11,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,2.075,-1.7592144338393831,0.0,0.31578556616061704,2.0
7,15,MAROZ Andrei,F,1,0,1,0,8,-4,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,1.35,-0.971714433839383,0.0,0.37828556616061704,1.5
8,4,ANDREYEU Aliaksei,D,1,0,1,22,9,-7,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,1.4249999999999998,-2.618428867678766,0.0,-1.193428867678766,1.5
9,25,KRYVAMAZ Yauheni,D,1,0,1,8,9,-9,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,1.4249999999999998,-3.068428867678766,0.0,-1.6434288676787663,1.5
10,23,PAKLIN Siarhei,D,0,1,1,0,3,-2,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,0.85,-1.4934288676787661,0.0,-0.6434288676787662,1.0
11,21,POLIUKH Aliaksandr,F,0,1,1,4,9,-10,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,1.2999999999999998,-1.6467144338393833,0.0,-0.3467144338393835,1.0
12,22,BUBENSHCHYKAU Ilya,F,0,0,0,0,4,-3,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,0.3,-0.859214433839383,0.0,-0.559214433839383,0.0
13,6,HRYHARTSEVICH Dzianis,D,0,0,0,8,3,-3,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,0.22499999999999998,-1.718428867678766,0.0,-1.493428867678766,0.0
14,17,VALCHOK Pavel,F,0,0,0,0,1,-3,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,0.075,-0.859214433839383,0.0,-0.784214433839383,0.0
15,14,RYTVINSKI Vasili,F,0,0,0,2,9,-4,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,0.6749999999999999,-0.971714433839383,0.0,-0.2967144338393831,0.0
16,9,PULVER Anton,D,0,0,0,2,3,-5,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,0.22499999999999998,-2.1684288676787666,0.0,-1.9434288676787665,0.0
17,26,TSURYKAU Yauhor,F,0,0,0,0,2,-5,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,0.15,-1.0842144338393833,0.0,-0.9342144338393833,0.0
18,3,VASIUKOVICH Mikalai,D,0,0,0,0,0,-6,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,0.0,-2.3934288676787663,0.0,-2.3934288676787663,0.0
19,13,KASTSIUCHONAK Viktar,D,0,0,0,8,12,-17,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,0.8999999999999999,-4.868428867678766,0.0,-3.968428867678766,0.0
20,29,FRALOU Andrei,GK,0,0,0,0,0,0,207,32,175,1,blr,blr-all,1999,0,318.53333333333336,6.0,0.0,0.0,-6.5,-6.5,0.0
21,2,ARISTAU Vitali,GK,0,0,0,0,0,0,32,5,27,1,blr,blr-all,1999,0,40.9,3.0,0.0,0.0,-1.0499999999999998,-1.0499999999999998,0.0
22,10,TKACZUK Daniel,F,6,4,10,10,19,1,0,0,0,2,can,can-all,1999,2,105.0,7.0,8.425,-0.03321392701389416,0.0,8.391786072986106,19.0
23,12,GAGNE Simon,F,7,1,8,2,18,9,0,0,0,2,can,can-all,1999,1,105.0,7.0,7.225,0.8667860729861057,0.0,8.091786072986105,14.5
24,35,LEEB Brad,F,3,5,8,2,15,5,0,0,0,2,can,can-all,1999,0,105.0,7.0,6.5,0.4167860729861058,0.0,6.916786072986106,9.5
25,5,CALDER Kyle,F,2,6,8,2,10,3,0,0,0,2,can,can-all,1999,0,105.0,7.0,6.0,0.1917860729861058,0.0,6.191786072986106,9.0
26,33,MORROW Brenden,F,1,7,8,4,9,7,0,0,0,2,can,can-all,1999,0,105.0,7.0,5.8,0.6417860729861059,0.0,6.441786072986106,8.5
27,23,CHIMERA Jason,F,2,2,4,2,13,2,0,0,0,2,can,can-all,1999,0,105.0,7.0,3.725,0.07928607298610583,0.0,3.804286072986106,5.0
28,9,FATA Rico,F,1,3,4,8,16,4,0,0,0,2,can,can-all,1999,0,105.0,7.0,3.825,0.3042860729861058,0.0,4.129286072986106,4.5
29,27,FERENCE Andrew,D,1,2,3,6,13,5,0,0,0,2,can,can-all,1999,0,105.0,7.0,2.975,0.8335721459722116,0.0,3.808572145972212,3.5
30,28,ALLEN Bryan,D,1,2,3,2,2,4,0,0,0,2,can,can-all,1999,0,105.0,7.0,2.15,0.6085721459722117,0.0,2.7585721459722117,3.5
31,14,CAMPBELL Brian,D,1,1,2,4,6,12,0,0,0,2,can,can-all,1999,1,105.0,7.0,1.825,2.4085721459722116,0.0,4.233572145972212,5.5
32,19,DRUKEN Harold,F,1,1,2,2,15,1,0,0,0,2,can,can-all,1999,0,105.0,7.0,2.5,-0.03321392701389416,0.0,2.466786072986106,2.5
33,17,MAIR Adam,F,1,1,2,29,6,0,0,0,0,2,can,can-all,1999,0,105.0,7.0,1.825,-0.14571392701389416,0.0,1.6792860729861059,2.5
34,25,WARD Jason,F,1,1,2,8,10,0,0,0,0,2,can,can-all,1999,0,105.0,7.0,2.125,-0.14571392701389416,0.0,1.979286072986106,2.5
35,36,MCDONELL Kent,F,1,1,2,4,9,-2,0,0,0,2,can,can-all,1999,0,105.0,7.0,2.05,-0.37071392701389416,0.0,1.6792860729861057,2.5
36,2,FERENCE Brad,D,0,2,2,25,1,-1,0,0,0,2,can,can-all,1999,0,105.0,7.0,1.325,-0.5164278540277883,0.0,0.8085721459722116,2.0
37,31,BOUCK Tyler,F,1,0,1,2,3,3,0,0,0,2,can,can-all,1999,0,105.0,7.0,0.975,0.1917860729861058,0.0,1.1667860729861057,1.5
38,4,VAN RYN Mike,D,0,1,1,4,15,7,0,0,0,2,can,can-all,1999,0,105.0,7.0,1.75,1.2835721459722118,0.0,3.0335721459722116,1.0
39,7,STUART Brad,D,0,1,1,2,17,-2,0,0,0,2,can,can-all,1999,0,105.0,7.0,1.9,-0.7414278540277883,0.0,1.1585721459722116,1.0
40,20,BETTS Blair,D,0,0,0,2,1,-1,0,0,0,2,can,can-all,1999,0,105.0,7.0,0.075,-0.5164278540277883,0.0,-0.44142785402778834,0.0
41,24,REGEHR Robyn,D,0,0,0,2,5,-5,0,0,0,2,can,can-all,1999,0,105.0,7.0,0.375,-1.4164278540277884,0.0,-1.0414278540277884,0.0
42,1,LUONGO Roberto,GK,0,0,0,0,0,0,224,13,211,2,can,can-all,1999,0,405.21666666666664,7.0,0.0,0.0,11.350000000000001,11.350000000000001,0.0
43,32,FINLEY Brian,GK,0,0,0,0,0,0,6,2,4,2,can,can-all,1999,0,20.0,1.0,0.0,0.0,-1.1,-1.1,0.0
44,10,DIVISEK Tomas,F,2,7,9,6,18,2,0,0,0,3,cze,cze-all,1999,0,90.0,6.0,7.225,0.11545619493161517,0.0,7.3404561949316145,10.0
45,16,MIKA Petr,F,6,1,7,2,16,2,0,0,0,3,cze,cze-all,1999,0,90.0,6.0,6.325,0.11545619493161517,0.0,6.440456194931615,10.0
46,28,PLETKA Vaclav,F,5,1,6,26,16,1,0,0,0,3,cze,cze-all,1999,2,90.0,6.0,5.575,0.002956194931615176,0.0,5.577956194931615,14.5
47,19,TRAVNICEK Michal,F,3,2,5,6,6,2,0,0,0,3,cze,cze-all,1999,0,90.0,6.0,3.95,0.11545619493161517,0.0,4.065456194931615,6.5
48,14,BALASTIK Jaroslav,F,2,3,5,0,9,0,0,0,0,3,cze,cze-all,1999,0,90.0,6.0,4.05,-0.10954380506838482,0.0,3.940456194931615,6.0
49,4,LAMICH Martin,F,2,2,4,31,11,2,0,0,0,3,cze,cze-all,1999,1,90.0,6.0,3.575,0.11545619493161517,0.0,3.6904561949316155,8.0
50,29,RACHUNEK Karel,D,1,3,4,4,9,-1,0,0,0,3,cze,cze-all,1999,0,90.0,6.0,3.3,-0.4440876101367697,0.0,2.85591238986323,4.5
51,24,VALA Petr,F,2,1,3,2,12,0,0,0,0,3,cze,cze-all,1999,0,90.0,6.0,3.025,-0.10954380506838482,0.0,2.915456194931615,4.0
52,22,KOPECKY Jan,F,1,2,3,6,13,0,0,0,0,3,cze,cze-all,1999,0,90.0,6.0,2.975,-0.10954380506838482,0.0,2.8654561949316153,3.5
53,20,ZIZKA Tomas,D,0,3,3,2,7,3,0,0,0,3,cze,cze-all,1999,0,90.0,6.0,2.4,0.4559123898632303,0.0,2.85591238986323,3.0
54,9,HORACEK Jan,D,1,1,2,12,8,2,0,0,0,3,cze,cze-all,1999,0,90.0,6.0,1.975,0.23091238986323034,0.0,2.2059123898632302,2.5
55,8,CARTELLI Mario,D,0,2,2,2,11,4,0,0,0,3,cze,cze-all,1999,0,90.0,6.0,2.075,0.6809123898632303,0.0,2.7559123898632305,2.0
56,27,MRAZEK Frantisek,F,0,2,2,6,14,2,0,0,0,3,cze,cze-all,1999,0,90.0,6.0,2.3,0.11545619493161517,0.0,2.415456194931615,2.0
57,12,AMBRUZ Martin,F,0,2,2,8,9,-1,0,0,0,3,cze,cze-all,1999,0,90.0,6.0,1.9249999999999998,-0.22204380506838484,0.0,1.702956194931615,2.0
58,7,CASLAVA Petr,D,0,2,2,4,4,-2,0,0,0,3,cze,cze-all,1999,0,90.0,6.0,1.55,-0.6690876101367697,0.0,0.8809123898632304,2.0
59,26,SIVEK Michal,F,1,0,1,14,12,-3,0,0,0,3,cze,cze-all,1999,0,90.0,6.0,1.65,-0.4470438050683848,0.0,1.2029561949316152,1.5
60,15,GALVAS Lukas,D,0,1,1,18,11,-3,0,0,0,3,cze,cze-all,1999,0,90.0,6.0,1.45,-0.8940876101367696,0.0,0.5559123898632303,1.0
61,23,KRAUS Jakub,F,0,0,0,0,4,-1,0,0,0,3,cze,cze-all,1999,0,90.0,6.0,0.3,-0.22204380506838484,0.0,0.07795619493161515,0.0
62,6,SEMAN Daniel,D,0,0,0,6,2,-1,0,0,0,3,cze,cze-all,1999,0,90.0,6.0,0.15,-0.4440876101367697,0.0,-0.29408761013676965,0.0
63,3,SVOBODA Petr,D,0,0,0,6,9,-1,0,0,0,3,cze,cze-all,1999,0,90.0,6.0,0.6749999999999999,-0.4440876101367697,0.0,0.23091238986323026,0.0
64,30,LAKOSIL Vlastimil,GK,0,0,0,0,0,0,195,18,177,3,cze,cze-all,1999,0,358.9166666666667,6.0,0.0,0.0,4.199999999999999,4.199999999999999,0.0
65,1,SINDELAR Filip,GK,0,0,0,0,0,0,0,0,0,3,cze,cze-all,1999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,15,SOMERVUORI Eero,F,4,4,8,2,24,0,0,0,0,4,fin,fin-all,1999,0,90.0,6.0,7.3,-0.0005377762555895532,0.0,7.299462223744411,10.0
67,9,HAGMAN Niklas,F,3,5,8,2,21,3,0,0,0,4,fin,fin-all,1999,0,90.0,6.0,6.95,0.3369622237444104,0.0,7.2869622237444105,9.5
68,25,MIKKOLA Ilkka,D,1,6,7,33,24,1,0,0,0,4,fin,fin-all,1999,0,90.0,6.0,6.3,0.2239244474888209,0.0,6.52392444748882,7.5
69,11,AHONEN Olli,F,4,2,6,2,21,1,0,0,0,4,fin,fin-all,1999,0,90.0,6.0,5.825,0.11196222374441045,0.0,5.936962223744411,8.0
70,6,KAUPPINEN Marko,D,3,2,5,4,20,-1,0,0,0,4,fin,fin-all,1999,2,90.0,6.0,5.0,-0.2260755525111791,0.0,4.773924447488821,12.5
71,14,MANNIKKO Miikka,F,2,3,5,4,14,-1,0,0,0,4,fin,fin-all,1999,0,90.0,6.0,4.425,-0.11303777625558956,0.0,4.31196222374441,6.0
72,12,ELOMO Teemu,F,2,1,3,4,11,1,0,0,0,4,fin,fin-all,1999,0,90.0,6.0,2.95,0.11196222374441045,0.0,3.061962223744411,4.0
73,24,KOSKELA Timo,D,1,1,2,0,3,0,0,0,0,4,fin,fin-all,1999,0,90.0,6.0,1.6,-0.0010755525111791064,0.0,1.598924447488821,2.5
74,22,RITA Jani,F,1,1,2,2,14,0,0,0,0,4,fin,fin-all,1999,1,90.0,6.0,2.425,-0.0005377762555895532,0.0,2.4244622237444102,5.5
75,10,SANTALA Tommi,F,1,1,2,6,12,-3,0,0,0,4,fin,fin-all,1999,0,90.0,6.0,2.275,-0.3380377762555895,0.0,1.9369622237444104,2.5
76,2,GUSTAFSSON Juha,D,1,1,2,0,3,-4,0,0,0,4,fin,fin-all,1999,0,90.0,6.0,1.6,-0.901075552511179,0.0,0.6989244474888211,2.5
77,7,JOKELA Mikko,D,0,2,2,6,8,3,0,0,0,4,fin,fin-all,1999,0,90.0,6.0,1.85,0.6739244474888209,0.0,2.523924447488821,2.0
78,23,VIRKKUNEN Teemu,F,0,2,2,0,7,2,0,0,0,4,fin,fin-all,1999,0,90.0,6.0,1.775,0.22446222374441044,0.0,1.9994622237444104,2.0
79,21,LAATIKAINEN Arto,D,0,2,2,6,7,-2,0,0,0,4,fin,fin-all,1999,0,90.0,6.0,1.775,-0.4510755525111791,0.0,1.3239244474888208,2.0
80,5,VAANANEN Ossi,D,0,2,2,8,6,-2,0,0,0,4,fin,fin-all,1999,0,90.0,6.0,1.7,-0.4510755525111791,0.0,1.2489244474888208,2.0
81,13,VAANANEN Jani,F,1,0,1,0,3,0,0,0,0,4,fin,fin-all,1999,0,90.0,6.0,0.975,-0.0005377762555895532,0.0,0.9744622237444104,1.5
82,20,VALTONEN Tomek,F,1,0,1,0,11,-4,0,0,0,4,fin,fin-all,1999,0,90.0,6.0,1.575,-0.4505377762555895,0.0,1.1244622237444104,1.5
83,28,TUOKKO Marco,F,0,0,0,8,2,0,0,0,0,4,fin,fin-all,1999,0,90.0,6.0,0.15,-0.0005377762555895532,0.0,0.14946222374441043,0.0
84,18,KANKAANPERA Markus,D,0,0,0,6,1,-2,0,0,0,4,fin,fin-all,1999,0,90.0,6.0,0.075,-0.4510755525111791,0.0,-0.3760755525111791,0.0
85,17,HAHL Riku,F,0,0,0,2,6,-5,0,0,0,4,fin,fin-all,1999,0,90.0,6.0,0.44999999999999996,-0.5630377762555896,0.0,-0.11303777625558964,0.0
86,1,LEHTO Mika,GK,0,0,0,0,0,0,119,8,111,4,fin,fin-all,1999,0,206.86666666666667,4.0,0.0,0.0,5.100000000000001,5.100000000000001,0.0
87,30,NORONEN Mika,GK,0,0,0,2,0,0,65,11,54,4,fin,fin-all,1999,0,159.36666666666667,3.0,0.0,0.0,-2.8499999999999996,-2.8499999999999996,0.0
88,19,ANTROPOV Nikolay,F,3,5,8,14,24,-3,0,0,0,5,kaz,kaz-all,1999,0,90.0,6.0,7.175,-0.9617514613002911,0.0,6.213248538699709,9.5
89,15,ZARZHYTSKIY Nikolay,F,3,0,3,16,12,-3,0,0,0,5,kaz,kaz-all,1999,0,90.0,6.0,3.15,-0.9617514613002911,0.0,2.1882485386997086,4.5
90,22,MEDVEDEV Mikhail,F,3,0,3,0,9,-8,0,0,0,5,kaz,kaz-all,1999,0,90.0,6.0,2.925,-1.524251461300291,0.0,1.4007485386997087,4.5
91,23,YESSIRKENOV Rustam,F,1,2,3,2,13,-2,0,0,0,5,kaz,kaz-all,1999,1,90.0,6.0,2.975,-0.8492514613002912,0.0,2.125748538699709,6.5
92,16,MIROSHNICHENKO Sergey,D,1,0,1,6,7,-3,0,0,0,5,kaz,kaz-all,1999,0,102.85714285714286,6.0,1.275,-2.101860482972094,0.0,-0.8268604829720942,1.5
93,9,YEREMEYEV Oleg,F,1,0,1,4,12,-4,0,0,0,5,kaz,kaz-all,1999,0,90.0,6.0,1.65,-1.0742514613002911,0.0,0.5757485386997088,1.5
94,10,BELAYEV Maxim,F,0,1,1,6,4,-5,0,0,0,5,kaz,kaz-all,1999,0,90.0,6.0,0.925,-1.1867514613002912,0.0,-0.26175146130029114,1.0
95,3,YAKOVLEV Pavel,D,0,1,1,0,10,-5,0,0,0,5,kaz,kaz-all,1999,0,102.85714285714286,6.0,1.375,-2.551860482972094,0.0,-1.176860482972094,1.0
96,7,LITVINENKO Alexey,D,0,1,1,33,7,-6,0,0,0,5,kaz,kaz-all,1999,0,102.85714285714286,6.0,1.15,-2.776860482972094,0.0,-1.626860482972094,1.0
97,17,POLICHSHUK Fedor,F,0,1,1,0,7,-8,0,0,0,5,kaz,kaz-all,1999,0,90.0,6.0,1.15,-1.524251461300291,0.0,-0.3742514613002912,1.0
98,28,RIFEL Vadim,F,0,0,0,6,11,-6,0,0,0,5,kaz,kaz-all,1999,0,90.0,6.0,0.825,-1.299251461300291,0.0,-0.47425146130029106,0.0
99,11,BLOKHIN Yevgeniy,D,0,0,0,12,3,-7,0,0,0,5,kaz,kaz-all,1999,0,102.85714285714286,6.0,0.22499999999999998,-3.0018604829720945,0.0,-2.7768604829720944,0.0
100,18,CHEBOTAREVSKIY Sergey,F,0,0,0,2,4,-8,0,0,0,5,kaz,kaz-all,1999,0,90.0,6.0,0.3,-1.524251461300291,0.0,-1.224251461300291,0.0
101,5,IVANOV Yevgeniy,D,0,0,0,6,7,-9,0,0,0,5,kaz,kaz-all,1999,0,102.85714285714286,6.0,0.525,-3.4518604829720942,0.0,-2.9268604829720943,0.0
102,26,RODIONOV Alexey,F,0,0,0,2,4,-9,0,0,0,5,kaz,kaz-all,1999,0,90.0,6.0,0.3,-1.6367514613002911,0.0,-1.336751461300291,0.0
103,30,TUYEMBAYEV Ivan,F,0,0,0,4,2,-10,0,0,0,5,kaz,kaz-all,1999,0,90.0,6.0,0.15,-1.749251461300291,0.0,-1.599251461300291,0.0
104,4,LOGVIN Vladimir,D,0,0,0,4,2,-11,0,0,0,5,kaz,kaz-all,1999,0,102.85714285714286,6.0,0.15,-3.901860482972094,0.0,-3.751860482972094,0.0
105,12,PETRUKHIN Yevgeniy,F,0,0,0,2,4,-11,0,0,0,5,kaz,kaz-all,1999,0,90.0,6.0,0.3,-1.8617514613002912,0.0,-1.5617514613002912,0.0
106,8,RYLSKIY Roman,D,0,0,0,2,4,-13,0,0,0,5,kaz,kaz-all,1999,0,102.85714285714286,6.0,0.3,-4.351860482972094,0.0,-4.051860482972094,0.0
107,20,KOLESNIK Vitaliy,GK,0,0,0,0,0,0,202,27,175,5,kaz,kaz-all,1999,0,306.6166666666667,6.0,0.0,0.0,-2.75,-2.75,0.0
108,1,KOLUZHNYY Alexandr,GK,0,0,0,0,0,0,48,11,37,5,kaz,kaz-all,1999,0,53.38333333333333,3.0,0.0,0.0,-4.55,-4.55,0.0
109,29,AFINOGUENOV Maxim,F,3,5,8,0,39,5,0,0,0,6,rus,rus-all,1999,2,105.0,7.0,8.3,1.0668147858997838,0.0,9.366814785899784,15.5
110,28,BALMOTCHNYKH Maxim,F,3,5,8,4,19,5,0,0,0,6,rus,rus-all,1999,0,105.0,7.0,6.8,1.0668147858997838,0.0,7.866814785899784,9.5
111,27,KIRILENKO Dmitri,F,3,5,8,6,17,5,0,0,0,6,rus,rus-all,1999,0,105.0,7.0,6.65,1.0668147858997838,0.0,7.716814785899784,9.5
112,22,ARKHIPOV Denis,F,5,2,7,4,20,5,0,0,0,6,rus,rus-all,1999,2,105.0,7.0,6.5,1.0668147858997838,0.0,7.566814785899783,15.5
113,13,DOBRYSHKINE Iouri,F,5,2,7,0,27,4,0,0,0,6,rus,rus-all,1999,0,105.0,7.0,7.025,0.954314785899784,0.0,7.979314785899785,9.5
114,19,TCHOUBAROV Artem,F,4,3,7,4,20,4,0,0,0,6,rus,rus-all,1999,1,105.0,7.0,6.375,0.954314785899784,0.0,7.3293147858997845,12.0
115,21,STCHASTLIVYI Petr,F,3,4,7,4,24,4,0,0,0,6,rus,rus-all,1999,0,105.0,7.0,6.55,0.954314785899784,0.0,7.504314785899783,8.5
116,18,LIACHENKO Roman,F,3,2,5,0,22,5,0,0,0,6,rus,rus-all,1999,0,105.0,7.0,5.15,1.0668147858997838,0.0,6.216814785899784,6.5
117,12,VERENIKINE Serguei,F,3,2,5,4,15,3,0,0,0,6,rus,rus-all,1999,1,105.0,7.0,4.625,0.8418147858997841,0.0,5.466814785899784,9.5
118,9,CHVIDKY Denis,F,1,4,5,0,16,0,0,0,0,6,rus,rus-all,1999,0,105.0,7.0,4.45,0.5043147858997841,0.0,4.9543147858997845,5.5
119,10,NIKITENKO Andrei,F,0,5,5,2,3,3,0,0,0,6,rus,rus-all,1999,0,105.0,7.0,3.35,0.8418147858997841,0.0,4.191814785899784,5.0
120,15,ZEVAKHINE Alexandre,F,1,3,4,8,17,6,0,0,0,6,rus,rus-all,1999,0,105.0,7.0,3.9,1.179314785899784,0.0,5.079314785899784,4.5
121,4,KOKOREV Dmitry,D,0,3,3,2,13,6,0,0,0,6,rus,rus-all,1999,0,105.0,7.0,2.85,2.358629571799568,0.0,5.208629571799568,3.0
122,3,MASLENNIKOV Maxim,D,0,2,2,4,8,9,0,0,0,6,rus,rus-all,1999,0,105.0,7.0,1.85,3.033629571799568,0.0,4.883629571799569,2.0
123,5,VICHNEVSKI Vitali,D,0,2,2,6,14,7,0,0,0,6,rus,rus-all,1999,0,105.0,7.0,2.3,2.5836295717995683,0.0,4.883629571799569,2.0
124,6,SAFRONOV Kirill,D,0,2,2,8,7,5,0,0,0,6,rus,rus-all,1999,0,105.0,7.0,1.775,2.1336295717995677,0.0,3.9086295717995676,2.0
125,2,DONIKA Mikhail,D,0,2,2,2,10,1,0,0,0,6,rus,rus-all,1999,0,105.0,7.0,2.0,1.2336295717995682,0.0,3.2336295717995682,2.0
126,23,MARIAMS Artem,D,0,1,1,0,0,3,0,0,0,6,rus,rus-all,1999,0,105.0,7.0,0.625,1.6836295717995682,0.0,2.3086295717995684,1.0
127,8,GOUSSEV Konstantin,D,0,1,1,0,0,1,0,0,0,6,rus,rus-all,1999,0,105.0,7.0,0.625,1.2336295717995682,0.0,1.8586295717995682,1.0
128,11,RIAZANTSEV Alexandre,D,0,0,0,4,14,0,0,0,0,6,rus,rus-all,1999,0,105.0,7.0,1.05,1.0086295717995681,0.0,2.0586295717995684,0.0
129,1,GUERASSIMOV Iouri,GK,0,0,0,0,0,0,6,0,6,6,rus,rus-all,1999,0,25.316666666666666,3.0,0.0,0.0,0.6000000000000001,0.6000000000000001,0.0
130,30,VOLKOV Alexei,GK,0,0,0,0,0,0,155,10,145,6,rus,rus-all,1999,0,407.45,7.0,0.0,0.0,7.0,7.0,0.0
131,27,NAGY Istvan,F,4,3,7,6,27,0,0,0,0,7,svk,svk-all,1999,1,90.0,6.0,6.9,-0.08066814340048542,0.0,6.819331856599515,12.0
132,17,CIBAK Martin,F,2,3,5,6,20,3,0,0,0,7,svk,svk-all,1999,1,90.0,6.0,4.875,0.2568318565995146,0.0,5.131831856599515,9.0
133,15,BATOVSKY Zoltan,F,2,3,5,4,11,1,0,0,0,7,svk,svk-all,1999,0,90.0,6.0,4.2,0.03183185659951458,0.0,4.2318318565995146,6.0
134,10,GABORIK Marian,F,3,0,3,2,15,2,0,0,0,7,svk,svk-all,1999,1,90.0,6.0,3.375,0.14433185659951459,0.0,3.5193318565995146,7.5
135,4,ZALESAK Miroslav,F,2,1,3,4,7,2,0,0,0,7,svk,svk-all,1999,1,90.0,6.0,2.65,0.14433185659951459,0.0,2.7943318565995146,7.0
136,9,SEJNA Peter,F,1,2,3,0,13,3,0,0,0,7,svk,svk-all,1999,0,90.0,6.0,2.975,0.2568318565995146,0.0,3.2318318565995146,3.5
137,16,CAKAJIK Martin,D,0,3,3,18,5,5,0,0,0,7,svk,svk-all,1999,0,90.0,6.0,2.25,0.9636637131990291,0.0,3.213663713199029,3.0
138,12,HUDEC Michal,F,1,1,2,0,8,-2,0,0,0,7,svk,svk-all,1999,0,90.0,6.0,1.975,-0.3056681434004854,0.0,1.6693318565995146,2.5
139,21,MACOSZEK Roman,F,1,1,2,27,5,-3,0,0,0,7,svk,svk-all,1999,0,90.0,6.0,1.75,-0.4181681434004854,0.0,1.3318318565995146,2.5
140,7,PODHRADSKY Peter,D,0,2,2,4,3,3,0,0,0,7,svk,svk-all,1999,0,90.0,6.0,1.475,0.5136637131990291,0.0,1.9886637131990292,2.0
141,2,HARABIN Ladislav,D,0,2,2,14,11,1,0,0,0,7,svk,svk-all,1999,0,90.0,6.0,2.075,0.06366371319902916,0.0,2.1386637131990294,2.0
142,18,BARTEK Martin,F,1,0,1,4,20,1,0,0,0,7,svk,svk-all,1999,0,90.0,6.0,2.25,0.03183185659951458,0.0,2.2818318565995144,1.5
143,19,HUJSA Martin,F,0,1,1,2,5,1,0,0,0,7,svk,svk-all,1999,0,90.0,6.0,1.0,0.03183185659951458,0.0,1.0318318565995146,1.0
144,20,PISTEK Lubomir,F,0,1,1,2,3,1,0,0,0,7,svk,svk-all,1999,0,90.0,6.0,0.85,0.03183185659951458,0.0,0.8818318565995146,1.0
145,6,SMREK Peter,D,0,1,1,4,14,0,0,0,0,7,svk,svk-all,1999,0,90.0,6.0,1.675,-0.16133628680097084,0.0,1.5136637131990291,1.0
146,5,PRIECHODSKY Marek,D,0,0,0,6,0,1,0,0,0,7,svk,svk-all,1999,0,90.0,6.0,0.0,0.06366371319902916,0.0,0.06366371319902916,0.0
147,23,KOSIK Michal,F,0,0,0,2,3,-1,0,0,0,7,svk,svk-all,1999,0,90.0,6.0,0.22499999999999998,-0.19316814340048544,0.0,0.03183185659951454,0.0
148,8,NADASDI Tomas,D,0,0,0,2,0,-1,0,0,0,7,svk,svk-all,1999,0,90.0,6.0,0.0,-0.3863362868009709,0.0,-0.3863362868009709,0.0
149,3,MEZEI Branislav,D,0,0,0,8,2,-3,0,0,0,7,svk,svk-all,1999,0,90.0,6.0,0.15,-0.8363362868009708,0.0,-0.6863362868009708,0.0
150,24,SLOVAK Juraj,D,0,0,0,2,7,-4,0,0,0,7,svk,svk-all,1999,0,90.0,6.0,0.525,-1.0613362868009708,0.0,-0.5363362868009708,0.0
151,25,LASAK Jan,GK,0,0,0,2,0,0,192,14,178,7,svk,svk-all,1999,0,359.8,6.0,0.0,0.0,7.300000000000001,7.300000000000001,0.0
152,1,KRIZAN Karol,GK,0,0,0,0,0,0,0,0,0,7,svk,svk-all,1999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,12,SEDIN Daniel,F,5,5,10,2,32,6,0,0,0,8,swe,swe-all,1999,0,90.0,6.0,9.275,0.9689595617717035,0.0,10.243959561771703,12.5
154,20,SEDIN Henrik,F,3,6,9,10,23,7,0,0,0,8,swe,swe-all,1999,1,90.0,6.0,7.725,1.0814595617717035,0.0,8.806459561771703,13.5
