,name,club,team,year,height,weight,age,tournament,NHL
157,JAROS Christian,Lulea HF,svk,2016,1.91,203,19.76164383561644,2,0.0
158,LESTAN Filip,HV71 Jonkoping,svk,2016,1.94,187,18.10958904109589,1,0.0
159,HUSKA Adam,Green Bay Gamblers,svk,2016,1.90,190,18.65205479452055,1,0.0
160,VANECEK Vitek,South Carolina Stingrays,cze,2016,1.85,181,19.991780821917807,2,0.0
161,STEZKA Ales,Sioux Falls Stampede,cze,2016,1.92,181,18.997260273972604,1,0.0
162,MIKLIS Ondrej,Sparta Prague,cze,2016,1.84,179,19.671232876712327,1,0.0
163,SKLENICKA David,HC Plzen,cze,2016,1.80,181,19.326027397260273,1,0.0
164,PASTRNAK David,Boston Bruins,cze,2016,1.83,181,19.616438356164384,3,1.0
165,STRANSKY Simon,Prince Albert Raiders,cze,2016,1.81,174,18.041095890410958,1,0.0
166,RASNER Alex,HC Olomouc,cze,2016,1.81,179,19.898630136986302,1,0.0
167,ZACHA Pavel,Sarnia Sting,cze,2016,1.91,209,18.75068493150685,3,0.0
168,CHLAPIK Filip,Charlottetown Islanders,cze,2016,1.85,196,18.59178082191781,1,0.0
169,LAKATOS Dominik,Bili Tygri Liberec,cze,2016,1.81,179,18.745205479452054,1,0.0
170,VOZENILEK Daniel,HC Pardubice,cze,2016,1.86,194,19.904109589041095,2,0.0
171,ORDOS Jan,Bili Tygri Liberec,cze,2016,1.81,172,19.2986301369863,1,0.0
172,SPACEK Michael,Red Deer Rebels,cze,2016,1.80,187,18.742465753424657,2,0.0
173,VESELY Radek,Pirati Chomutov,cze,2016,1.83,187,19.671232876712327,1,0.0
174,ZBORIL Jakub,Saint John Sea Dogs,cze,2016,1.85,185,18.87123287671233,1,0.0
175,KASE David,Pirati Chomutov,cze,2016,1.78,150,18.936986301369863,2,0.0
176,SCOTKA Jan,HC Pardubice,cze,2016,1.87,201,19.63013698630137,2,0.0
177,HRONEK Filip,HC Hradec Kralove,cze,2016,1.79,150,18.175342465753424,1,0.0
178,SOUSTAL Tomas,Kelowna Rockets,cze,2016,1.90,198,18.887671232876713,1,0.0
179,MASIN Dominik,Peterborough Petes,cze,2016,1.88,194,19.92876712328767,2,0.0
180,TOMASEK David,HC Pardubice,cze,2016,1.87,185,19.904109589041095,1,0.0
181,SMEJKAL Jiri,Moose Jaw Warriors,cze,2016,1.89,183,19.167123287671235,1,0.0
182,VLADAR Daniel,Chicago Steel,cze,2016,1.96,187,18.378082191780823,2,0.0
183,KAHKONEN Kaapo,Espoo Blues,fin,2016,1.87,216,19.389041095890413,1,0.0
184,NIKU Sami,JYP Jyvaskyla,fin,2016,1.83,179,19.23835616438356,2,0.0
185,KESKITALO Miro,TPS Turku,fin,2016,1.89,187,19.887671232876713,1,0.0
186,JUOLEVI Olli,London Knights,fin,2016,1.88,183,17.671232876712327,1,0.0
187,SOPANEN Eetu,Peliitat Heinola,fin,2016,1.96,225,19.7013698630137,1,0.0
188,TUULOLA Joni,HPK Hameenlinna,fin,2016,1.88,185,20.013698630136986,1,0.0
189,MIKKOLA Niko,KalPa Kuopio,fin,2016,1.94,185,19.693150684931506,1,0.0
190,PULJUJARVI Jesse,Karpat Oulu,fin,2016,1.90,201,17.665753424657535,2,0.0
191,HINTZ Roope,IFK Helsinki,fin,2016,1.90,203,19.134246575342466,2,0.0
192,BJORKQVIST Kasper,Espoo Blues,fin,2016,1.86,198,18.49041095890411,1,0.0
193,SIIKONEN Miska,Pelicans Lahti,fin,2016,1.90,201,19.65205479452055,1,0.0
194,RANTANEN Mikko,Colorado Avalanche,fin,2016,1.92,216,19.186301369863013,2,1.0
195,SAARIJARVI Vili,Flint Firebirds,fin,2016,1.78,165,18.643835616438356,1,0.0
196,SAARELA Aleksi,Assat Pori,fin,2016,1.80,198,18.994520547945207,1,0.0
197,AHO Sebastian,Karpat Oulu,fin,2016,1.81,176,18.446575342465753,2,0.0
198,KALAPUDAS Antti,Karpat Oulu,fin,2016,1.82,179,19.457534246575342,2,0.0
199,REPO Sebastian,Pelicans Lahti,fin,2016,1.89,190,19.53698630136986,1,0.0
200,KAPANEN Kasperi,Toronto Maple Leafs,fin,2016,1.83,181,19.454794520547946,2,1.0
201,NATTINEN Julius,Barrie Colts,fin,2016,1.88,194,18.975342465753425,1,0.0
202,LAMMIKKO Juho,Kingston Frontenacs,fin,2016,1.90,201,19.936986301369863,1,0.0
203,LAINE Patrik,Tappara Tampere,fin,2016,1.94,207,17.715068493150685,1,0.0
204,VEHVILAINEN Veini,JYP Jyvaskyla,fin,2016,1.85,183,18.893150684931506,1,0.0
205,LARMI Emil,Peliitat Heinola,fin,2016,1.82,185,19.27123287671233,1,0.0
206,OSIPKOV Alexander,Yunost Minsk,blr,2016,1.83,185,18.936986301369863,1,0.0
207,TABOLIN Alexander,Dynamo U20 Bobruisk,blr,2016,1.87,190,18.34246575342466,1,0.0
208,VOROBEI Pavel,Dynamo U20 Bobruisk,blr,2016,1.90,198,18.32054794520548,1,0.0
209,FALKOVSKI Stepan,Ottawa 67s,blr,2016,2.00,225,19.04931506849315,1,0.0
210,SUSHKO Ilya,Dynamo U20 Bobruisk,blr,2016,1.82,168,18.02191780821918,1,0.0
211,PATSENKIN Alexei,Yunost Minsk,blr,2016,1.75,154,18.86027397260274,1,0.0
212,SHARANGOVICH Yegor,Dynamo Raubichi,blr,2016,1.82,176,17.583561643835615,1,0.0
213,GONCHAROV Vladislav,Dynamo U20 Bobruisk,blr,2016,1.67,154,19.15068493150685,1,0.0
214,BUINITSKI Dmitri,Dynamo Minsk,blr,2016,1.85,174,18.84931506849315,1,0.0
215,FILIPPOVICH Dmitri,Dynamo U20 Bobruisk,blr,2016,1.79,181,19.487671232876714,1,0.0
216,BUSKO Alexei,Shakhtyor Soligorsk,blr,2016,1.84,190,19.361643835616437,1,0.0
217,ROMANOVICH Sergei,Dynamo U20 Bobruisk,blr,2016,1.87,157,18.802739726027397,1,0.0
218,VEREMYOV Grigori,Dynamo U20 Bobruisk,blr,2016,1.82,165,19.643835616438356,1,0.0
219,PATSENKIN Alexander,Yunost Minsk,blr,2016,1.74,163,18.86027397260274,1,0.0
220,BOBKO Ilya,Dynamo U20 Bobruisk,blr,2016,1.78,176,19.304109589041097,1,0.0
221,CHERNIKOV Artemi,Dynamo U20 Bobruisk,blr,2016,1.77,159,19.575342465753426,1,0.0
222,KARABAN Danila,Dynamo U20 Bobruisk,blr,2016,1.79,170,19.446575342465753,1,0.0
223,BELEVICH Andrei,Dynamo U20 Bobruisk,blr,2016,1.87,185,18.35890410958904,1,0.0
224,BOKUN Danil,Dynamo U20 Bobruisk,blr,2016,1.93,207,19.45205479452055,1,0.0
225,VERBITSKI Vladislav,Dynamo U20 Bobruisk,blr,2016,1.93,179,18.945205479452056,1,0.0
226,VASILCHUK Ruslan,Dynamo U20 Bobruisk,blr,2016,1.80,161,18.186301369863013,1,0.0
227,MALINOVSKI Vadim,Okanagan European Eagles,blr,2016,1.80,163,19.71780821917808,1,0.0
228,KULBAKOV Ivan,Dynamo U20 Bobruisk,blr,2016,1.83,187,19.2986301369863,1,0.0
0,RUUSU Markus,JYP Jyvaskyla,fin,2017,1.88,176,19.372602739726027,1,0.0
1,HEISKANEN Miro,IFK Helsinki,fin,2017,1.84,174,17.471232876712328,1,0.0
2,VAAKANAINEN Urho,JYP Jyvaskyla,fin,2017,1.85,181,18.013698630136986,1,0.0
3,RAUTANEN Juho,Jokerit Helsinki,fin,2017,1.83,183,19.61917808219178,1,0.0
4,JUOLEVI Olli,London Knights,fin,2017,1.88,183,18.673972602739727,2,0.0
5,KUOKKANEN Janne,London Knights,fin,2017,1.85,179,18.61917808219178,1,0.0
6,BJORKQVIST Kasper,Providence College,fin,2017,1.86,203,19.493150684931507,2,0.0
7,VALIMAKI Juuso,Tri-City Americans,fin,2017,1.87,201,18.252054794520546,1,0.0
8,BORGSTROM Henrik,University of Denver,fin,2017,1.91,185,19.41917808219178,1,0.0
9,PALMU Petrus,Owen Sound Attack,fin,2017,1.69,170,19.476712328767125,1,0.0
10,SAARIJARVI Vili,Mississauga Steelheads,fin,2017,1.78,172,19.646575342465752,2,0.0
11,MATTILA Julius,Boston College,fin,2017,1.80,168,19.243835616438357,1,0.0
12,LUOTO Joona,Tappara Tampere,fin,2017,1.89,185,19.279452054794522,1,0.0
13,RUOTSALAINEN Arttu,Assat Pori,fin,2017,1.74,176,19.18904109589041,1,0.0
14,NATTINEN Julius,Windsor Spitfires,fin,2017,1.88,198,19.97808219178082,2,0.0
15,VAYRYNEN Teemu,TPS Turku,fin,2017,1.77,172,19.693150684931506,1,0.0
16,MATTILA Jesper,Boston College,fin,2017,1.80,179,19.243835616438357,1,0.0
17,KAARLEHTO Karolus,TPS Turku,fin,2017,1.86,165,19.34794520547945,1,0.0
18,VEHVILAINEN Veini,JYP Jyvaskyla,fin,2017,1.84,174,19.895890410958906,2,0.0
19,RASANEN Aapeli,Sioux City Musketeers,fin,2017,1.83,196,18.6,1,0.0
20,TOLVANEN Eeli,Sioux City Musketeers,fin,2017,1.79,172,17.70958904109589,1,0.0
21,VESALAINEN Kristian,HPK Hameenlinna,fin,2017,1.92,207,17.6,1,0.0
22,KOIVULA Otto,Ilves Tampere,fin,2017,1.93,220,18.34794520547945,1,0.0
23,SANDSTROM Felix,Brynas Gavle,swe,2017,1.87,187,19.983561643835618,2,0.0
24,LARSSON Jacob,Frolunda Gothenburg,swe,2017,1.88,192,19.69041095890411,2,0.0
25,BERNHARDT David,Djurgarden Stockholm,swe,2017,1.90,192,19.0986301369863,1,0.0
26,GUNNARSSON Kristoffer,Frolunda Gothenburg,swe,2017,1.85,205,19.86027397260274,1,0.0
27,KYLINGTON Oliver,Calgary Flames,swe,2017,1.83,181,19.635616438356163,1,1.0
28,DAHLIN Rasmus,Frolunda Gothenburg,swe,2017,1.86,165,16.731506849315068,1,0.0
29,CARLSSON Gabriel,Linkoping HC,swe,2017,1.92,187,20.01095890410959,2,0.0
30,AHL Filip,Regina Pats,swe,2017,1.92,214,19.56986301369863,1,0.0
31,PETTERSSON Elias,Timra IK,swe,2017,1.86,157,18.15068493150685,1,0.0
32,ANDERSSON Lias,HV71 Jonkoping,swe,2017,1.81,198,18.232876712328768,1,0.0
33,GRUNDSTROM Carl,Frolunda Gothenburg,swe,2017,1.84,194,19.0986301369863,2,0.0
34,KARLSTROM Fredrik,AIK Solna,swe,2017,1.89,183,18.983561643835618,1,0.0
35,ASPLUND Rasmus,Farjestad Karlstad,swe,2017,1.80,183,19.09315068493151,2,0.0
36,NYLANDER Alexander,Buffalo Sabres,swe,2017,1.84,176,18.84931506849315,2,1.0
37,ERIKSSON EK Joel,Farjestad Karlstad,swe,2017,1.89,203,19.936986301369863,2,0.0
38,CARLSSON Lucas,Brynas Gavle,swe,2017,1.84,187,19.506849315068493,1,0.0
39,LOOKE Jens,Timra IK,swe,2017,1.84,185,19.73972602739726,3,0.0
40,OHLSSON Sebastian,Skelleftea AIK,swe,2017,1.74,172,19.843835616438355,1,0.0
41,DAHLEN Jonathan,Timra IK,swe,2017,1.81,181,19.046575342465754,1,0.0
42,WINGERLI Andreas,Skelleftea AIK,swe,2017,1.73,170,19.32054794520548,1,0.0
43,SODERLUND Tim,Skelleftea AIK,swe,2017,1.75,163,18.953424657534246,1,0.0
44,GUSTAVSSON Filip,Lulea HF,swe,2017,1.87,185,18.583561643835615,1,0.0
45,WERNER Adam,Farjestad Karlstad,swe,2017,1.96,198,19.682191780821917,1,0.0
46,KVACA Petr,HC Ceske Budejovice,cze,2017,1.86,174,19.317808219178083,1,0.0
47,SKAREK Jakub,HC Dukla Jihlava,cze,2017,1.90,196,17.156164383561645,1,0.0
48,KRENZELOK Daniel,Vitkovice Ostrava,cze,2017,1.93,198,19.44109589041096,1,0.0
49,VALA Ondrej,Kamloops Blazers,cze,2017,1.94,207,18.734246575342464,1,0.0
50,KVASNICKA David,HC Plzen,cze,2017,1.77,185,17.731506849315068,1,0.0
51,NECAS Martin,Kometa Brno,cze,2017,1.84,168,17.975342465753425,1,0.0
52,HRDINKA Frantisek,Linkoping HC,cze,2017,1.83,187,18.84931506849315,1,0.0
53,CHLAPIK Filip,Charlottetown Islanders,cze,2017,1.85,196,19.594520547945205,2,0.0
54,SOUSTAL Tomas,Kelowna Rockets,cze,2017,1.90,198,19.89041095890411,2,0.0
55,KUROVSKY Daniel,Vitkovice Ostrava,cze,2017,1.92,198,18.843835616438355,1,0.0
56,JASEK Lukas,Ocelari Trinec,cze,2017,1.83,165,19.35890410958904,1,0.0
57,SPACEK Michael,Red Deer Rebels,cze,2017,1.80,187,19.745205479452054,3,0.0
58,BUDIK Vojtech,Prince Albert Raiders,cze,2017,1.85,194,18.936986301369863,1,0.0
59,ZBORIL Jakub,Saint John Sea Dogs,cze,2017,1.85,185,19.873972602739727,2,0.0
60,KOBLIZEK Radek,Karpat Oulu,cze,2017,1.73,170,19.213698630136985,1,0.0
61,KASE David,Pirati Chomutov,cze,2017,1.78,150,19.93972602739726,3,0.0
62,STRANSKY Simon,Prince Albert Raiders,cze,2017,1.81,181,19.043835616438358,2,0.0
63,SUCHY Filip,Omaha Lancers,cze,2017,1.73,161,19.057534246575344,1,0.0
64,REICHEL Kristian,HC Litvinov,cze,2017,1.84,168,18.572602739726026,1,0.0
65,MUSIL Adam,Red Deer Rebels,cze,2017,1.91,203,19.783561643835615,1,0.0
66,KALINA Petr,Sparta Prague,cze,2017,1.84,181,19.495890410958904,1,0.0
67,HRONEK Filip,Saginaw Spirit,cze,2017,1.82,165,19.17808219178082,2,0.0
68,VLADAR Daniel,Providence Bruins,cze,2017,1.96,187,19.38082191780822,3,0.0
69,GRANSOE Emil,Topeka Roadrunners,den,2017,1.82,172,18.276712328767122,1,0.0
70,LARSEN Oliver,Odense Bulldogs,den,2017,1.90,207,18.03287671232877,1,0.0
71,KOCH Anders,Esbjerg Energy,den,2017,1.88,183,19.263013698630136,1,0.0
72,GATZ Oliver,Herning Blue Fox,den,2017,1.86,203,18.252054794520546,1,0.0
73,RONDBJERG Mathias,Rungsted IK,den,2017,1.86,194,19.958904109589042,1,0.0
74,WEICHEL Nicolai,Rungsted IK,den,2017,1.85,198,19.167123287671235,2,0.0
75,KORSGAARD Jeppe,Aalborg Pirates,den,2017,1.80,187,19.252054794520546,2,0.0
76,ANDERSSON Rasmus,HV71 Jonkoping,den,2017,1.80,176,19.6,1,0.0
77,BLICHFELD Joachim,Portland Winterhawks,den,2017,1.87,181,18.473972602739725,1,0.0
78,MIERITZ Christian,Leksands IF,den,2017,1.84,203,19.268493150684932,2,0.0
79,MATHIASEN-WEJSE Christian,Blainville-Boisbriand Armada,den,2017,1.86,194,18.09041095890411,1,0.0
80,ANDERSEN Niklas,Esbjerg Energy,den,2017,1.80,168,19.12876712328767,2,0.0
81,JENSEN Morten,Rogle Angelholm,den,2017,1.83,181,19.852054794520548,2,0.0
82,RONDBJERG Jonas,Vaxjo Lakers,den,2017,1.84,176,17.76986301369863,2,0.0
83,BOYSEN William,Rungsted IK,den,2017,1.85,183,19.61917808219178,2,0.0
84,KRAG Nikolaj,Rogle Angelholm,den,2017,1.89,194,18.4027397260274,2,0.0
85,FROM Mathias,Rogle Angelholm,den,2017,1.86,187,19.057534246575344,2,0.0
86,LADEHOFF Tobias,Aalborg Pirates,den,2017,1.78,163,19.268493150684932,1,0.0
87,HOEG Frederik,Odense Bulldogs,den,2017,1.78,176,19.454794520547946,1,0.0
88,MADSEN David,Vaxjo Lakers,den,2017,1.84,194,17.947945205479453,1,0.0
89,TRUE Alexander,Seattle Thunderbirds,den,2017,1.93,176,19.473972602739725,3,0.0
90,PETERSEN Lasse,Red Deer Rebels,den,2017,1.88,176,19.506849315068493,2,0.0
91,KROG Kasper,SonderjyskE Vojens,den,2017,1.75,176,18.53150684931507,1,0.0
92,RITZ Matteo,Lausanne HC,sui,2017,1.90,198,18.78904109589041,1,0.0
93,BURREN Yanik,SC Bern,sui,2017,1.81,176,19.93972602739726,1,0.0
94,KARRER Roger,ZSC Lions Zurich,sui,2017,1.80,170,19.958904109589042,2,0.0
95,STADLER Livio,Lulea HF,sui,2017,1.83,176,18.783561643835615,1,0.0
96,GROSS Nico,EV Zug,sui,2017,1.84,181,16.945205479452056,1,0.0
97,PORTMANN Jerome,HC Davos,sui,2017,1.83,181,19.95068493150685,1,0.0
98,RIAT Damien,Geneve-Servette,sui,2017,1.83,172,19.86027397260274,2,0.0
99,WEBER Serge,EHC Kloten,sui,2017,1.75,143,19.60821917808219,1,0.0
100,MIRANDA Marco,GCK Lions Zurich,sui,2017,1.89,196,18.5972602739726,1,0.0
101,THURKAUF Calvin,Kelowna Rockets,sui,2017,1.85,196,19.528767123287672,2,0.0
102,MARCHON Nathan,Fribourg-Gotteron,sui,2017,1.76,168,19.884931506849316,1,0.0
103,IN ALBON Loic,Lausanne HC,sui,2017,1.84,165,19.41917808219178,1,0.0
104,PRASSL Raphael,GCK Lions Zurich,sui,2017,1.84,176,19.12054794520548,1,0.0
105,HISCHIER Nico,Halifax Mooseheads,sui,2017,1.84,172,18.005479452054793,2,0.0
106,ZEHNDER Yannick,EV Zug,sui,2017,1.80,181,19.02191780821918,1,0.0
107,HABERSTICH Fabian,EV Zug,sui,2017,1.82,216,19.997260273972604,1,0.0
108,EGGENBERGER Nando,HC Davos,sui,2017,1.88,185,17.24931506849315,1,0.0
109,DIEM Dominik,GCK Lions Zurich,sui,2017,1.80,165,19.947945205479453,1,0.0
110,GERBER Colin,SC Bern,sui,2017,1.91,187,18.816438356164383,1,0.0
111,SIEGENTHALER Jonas,ZSC Lions Zurich,sui,2017,1.88,218,19.671232876712327,3,0.0
112,HAUSSENER Timo,EV Zug,sui,2017,1.94,183,19.745205479452054,1,0.0
113,WUTHRICH Philip,SC Bern,sui,2017,1.82,168,18.96986301369863,1,0.0
114,van POTTELBERGHE Joren,HC Davos,sui,2017,1.89,181,19.589041095890412,2,0.0
115,KRASOTKIN Anton,Loko Yaroslavl,rus,2017,1.82,179,19.632876712328766,1,0.0
116,KUDAKO Vadim,Almaz Cherepovets,rus,2017,1.86,179,19.865753424657534,1,0.0
117,SIDOROV Mikhail,Ak Bars Kazan,rus,2017,1.82,214,19.534246575342465,1,0.0
118,ZBOROVSKI Sergei,Regina Pats,rus,2017,1.93,194,19.873972602739727,1,0.0
119,KAPRIZOV Kirill,Salavat Yulayev Ufa,rus,2017,1.78,192,19.698630136986303,2,0.0
120,URAKOV Kirill,Torpedo Nizhni Novgorod,rus,2017,1.85,187,19.043835616438358,1,0.0
121,KVARTALNOV Danila,CSKA Moscow,rus,2017,1.86,183,19.5013698630137,1,0.0
122,POLUNIN Alexander,Lokomotiv Yaroslavl,rus,2017,1.75,172,19.61917808219178,2,0.0
123,BELYAYEV Kirill,Yugra Khanty-Mansisk,rus,2017,1.88,218,19.471232876712328,1,0.0
124,VORONKOV Yegor,Vityaz Chekhov,rus,2017,1.83,187,19.953424657534246,2,0.0
125,RUBTSOV German,Russkie Vityazi Chekhov,rus,2017,1.84,185,18.528767123287672,1,0.0
126,KARNAUKHOV Pavel,CSKA Moscow,rus,2017,1.89,212,19.813698630136987,1,0.0
127,SUKHACHYOV Vladislav,Belye Medvedi Chelyabinsk,rus,2017,1.79,181,18.649315068493152,1,0.0
128,ALEXEYEV Denis,Lokomotiv Yaroslavl,rus,2017,1.84,183,19.265753424657536,1,0.0
129,YURTAIKIN Danil,Lokomotiv Yaroslavl,rus,2017,1.80,170,19.517808219178082,1,0.0
130,DRONOV Grigori,Metallurg Magnitogorsk,rus,2017,1.89,207,18.98904109589041,1,0.0
131,VOROBYOV Mikhail,Salavat Yulayev Ufa,rus,2017,1.89,185,20.002739726027396,1,0.0
132,TRENIN Yakov,Gatineau Olympiques,rus,2017,1.88,205,19.980821917808218,1,0.0
133,SERGACHYOV Mikhail,Windsor Spitfires,rus,2017,1.90,216,18.534246575342465,1,0.0
134,GURYANOV Denis,Texas Stars,rus,2017,1.89,183,19.583561643835615,1,0.0
135,RYKOV Yegor,SKA St. Petersburg,rus,2017,1.89,194,19.731506849315068,2,0.0
136,VOLKOV Artyom,Dynamo Balashikha,rus,2017,1.86,183,19.7013698630137,1,0.0
137,SAMSONOV Ilya,Metallurg Magnitogorsk,rus,2017,1.91,205,19.87123287671233,2,0.0
138,PARSONS Tyler,London Knights,usa,2017,1.85,185,19.301369863013697,1,0.0
139,LINDGREN Ryan,University of Minnesota,usa,2017,1.83,207,18.9013698630137,1,0.0
140,AHCAN Jack,St. Cloud State,usa,2017,1.70,183,19.638356164383563,1,0.0
141,JONES Caleb,Portland Winterhawks,usa,2017,1.85,194,19.586301369863012,1,0.0
142,FITZGERALD Casey,Boston College,usa,2017,1.80,187,19.863013698630137,1,0.0
143,FOX Adam,Harvard University,usa,2017,1.78,187,18.884931506849316,1,0.0
144,KUNIN Luke,University of Wisconsin,usa,2017,1.80,196,19.09041095890411,1,0.0
145,LACZYNSKI Tanner,Ohio State University,usa,2017,1.83,192,19.6,1,0.0
146,HARPER Patrick,Boston University,usa,2017,1.75,161,18.44109589041096,1,0.0
147,GREENWAY Jordan,Boston University,usa,2017,1.96,229,19.887671232876713,1,0.0
148,ANDERSON Joey,University of Minnesota Duluth,usa,2017,1.80,201,18.55068493150685,1,0.0
149,FOLEY Erik,Providence College,usa,2017,1.83,196,19.52054794520548,1,0.0
150,BRACCO Jeremy,Kitchener Rangers,usa,2017,1.75,181,19.80821917808219,1,0.0
151,WHITE Colin,Boston College,usa,2017,1.83,183,19.934246575342467,2,0.0
152,KELLER Clayton,Boston University,usa,2017,1.78,172,18.44109589041096,1,0.0
153,TERRY Troy,University of Denver,usa,2017,1.83,165,19.323287671232876,1,0.0
154,BELLOWS Kieffer,Boston University,usa,2017,1.83,201,18.575342465753426,1,0.0
155,McAVOY Charlie,Boston University,usa,2017,1.83,205,19.043835616438358,1,0.0
156,ROSLOVIC Jack,Manitoba Moose,usa,2017,1.85,192,19.936986301369863,1,0.0
157,THOMPSON Tage,University of Connecticut,usa,2017,1.96,201,19.186301369863013,1,0.0
158,OETTINGER Jake,Boston University,usa,2017,1.93,205,18.052054794520547,1,0.0
159,WOLL Joseph,Boston College,usa,2017,1.91,203,18.487671232876714,1,0.0
160,CECCONI Joseph,University of Michigan,usa,2017,1.88,223,19.624657534246577,1,0.0
161,INGRAM Connor,Kamloops Blazers,can,2017,1.83,212,19.76986301369863,1,0.0
162,BEAN Jake,Calgary Hitmen,can,2017,1.85,170,18.578082191780823,1,0.0
163,JUULSEN Noah,Everett Silvertips,can,2017,1.84,179,19.764383561643836,1,0.0
164,CHABOT Thomas,Saint John Sea Dogs,can,2017,1.88,190,19.934246575342467,2,0.0
165,MYERS Philippe,Rouyn-Noranda Huskies,can,2017,1.95,207,19.947945205479453,1,0.0
166,FABBRO Dante,Boston University,can,2017,1.83,190,18.54794520547945,1,0.0
167,DUBE Dillon,Kelowna Rockets,can,2017,1.79,185,18.465753424657535,1,0.0
168,CLAGUE Kale,Brandon Wheat Kings,can,2017,1.83,185,18.589041095890412,1,0.0
169,JOSEPH Mathieu,Saint John Sea Dogs,can,2017,1.85,172,19.90684931506849,1,0.0
170,GAUTHIER Julien,Val dOr Foreurs,can,2017,1.93,225,19.22739726027397,2,0.0
171,BARZAL Matt,Seattle Thunderbirds,can,2017,1.83,187,19.616438356164384,2,0.0
172,LAUZON Jeremy,Rouyn-Noranda Huskies,can,2017,1.90,203,19.693150684931506,1,0.0
173,RADDYSH Taylor,Erie Otters,can,2017,1.88,203,18.882191780821916,1,0.0
174,JOST Tyson,University of North Dakota,can,2017,1.80,192,18.816438356164383,1,0.0
175,DUBOIS Pierre-Luc,Cape Breton Screaming Eagles,can,2017,1.85,181,18.53698630136986,1,0.0
176,STROME Dylan,Erie Otters,can,2017,1.90,194,19.835616438356166,2,0.0
177,McLEOD Michael,Mississauga Steelheads,can,2017,1.88,187,18.923287671232877,1,0.0
178,SPEERS Blake,Sault Ste. Marie Greyhounds,can,2017,1.80,185,20.01095890410959,1,0.0
179,CIRELLI Anthony,Oshawa Generals,can,2017,1.84,176,19.47945205479452,1,0.0
180,ROY Nicolas,Chicoutimi Sagueneens,can,2017,1.93,203,19.91780821917808,1,0.0
181,STEPHENS Mitchell,Saginaw Spirit,can,2017,1.83,196,19.91780821917808,2,0.0
182,HART Carter,Everett Silvertips,can,2017,1.85,176,18.4,1,0.0
183,DURNY Roman,Orange 20 Bratislava,svk,2017,1.87,205,18.610958904109587,1,0.0
184,TOMEK Matej,University of North Dakota,svk,2017,1.90,161,19.621917808219177,1,0.0
185,BODAK Martin,Tappara Tampere,svk,2017,1.81,194,18.106849315068494,1,0.0
186,KOSECKY Oliver,Orange 20 Bratislava,svk,2017,1.83,181,19.863013698630137,1,0.0
187,ROMAN Michal,Ocelari Trinec,svk,2017,1.86,170,19.06027397260274,1,0.0
188,FEHERVARY Martin,IF Malmo Redhawks,svk,2017,1.80,168,17.252054794520546,1,0.0
189,HAIN Samuel,Orange 20 Bratislava,svk,2017,1.84,187,19.76164383561644,1,0.0
190,HECL Marek,Orange 20 Bratislava,svk,2017,1.75,163,19.019178082191782,1,0.0
191,BONDRA Radovan,Vancouver Giants,svk,2017,1.96,207,19.942465753424656,3,0.0
192,STUDENIC Marian,Hamilton Bulldogs,svk,2017,1.83,165,18.19178082191781,1,0.0
193,CERNAK Erik,Erie Otters,svk,2017,1.92,203,19.610958904109587,4,0.0
194,SLOBODA Marek,Orange 20 Bratislava,svk,2017,1.82,181,19.18082191780822,1,0.0
195,HATALA Andrej,Dukla Trencin,svk,2017,1.80,187,19.86027397260274,1,0.0
196,GRMAN Mario,Orange 20 Bratislava,svk,2017,1.86,198,19.73972602739726,1,0.0
197,SADECKY Boris,Orange 20 Bratislava,svk,2017,1.83,185,19.715068493150685,2,0.0
198,RUZICKA Adam,Sarnia Sting,svk,2017,1.94,209,17.65753424657534,1,0.0
199,PATAKY Oliver,Orange 20 Bratislava,svk,2017,1.76,165,19.698630136986303,1,0.0
200,ANDRISIK Martin,Orange 20 Bratislava,svk,2017,1.89,205,19.95068493150685,1,0.0
201,STRUSKA Miroslav,Orange 20 Bratislava,svk,2017,1.85,176,20.005479452054793,1,0.0
202,ROMAN Milos,Ocelari Trinec,svk,2017,1.80,194,17.167123287671235,1,0.0
203,LESTAN Filip,HV71 Jonkoping,svk,2017,1.93,187,19.112328767123287,2,0.0
204,OSKO Patrik,Orange 20 Bratislava,svk,2017,1.90,187,19.991780821917807,1,0.0
205,HUSKA Adam,University of Connecticut,svk,2017,1.90,190,19.654794520547945,2,0.0
206,ROMANOVSKIS Denijs,HS Riga,lat,2017,1.78,165,19.865753424657534,1,0.0
207,JANSONS Eduards,Zemgale Jelgava,lat,2017,1.90,187,19.33150684931507,1,0.0
208,JANSONS Gvido,Aston Rebels,lat,2017,1.93,209,19.98904109589041,1,0.0
209,RUBINS Kristians,Medicine Hat Tigers,lat,2017,1.93,216,19.07123287671233,1,0.0
210,TRALMAKS Eduards,Chicago Steel,lat,2017,1.91,187,19.884931506849316,1,0.0
211,PONOMARENKO Maksims,Lorenskog IK,lat,2017,1.87,205,19.706849315068492,1,0.0
212,ZILE Kristaps,HK Riga,lat,2017,1.85,174,19.035616438356165,1,0.0
213,PUIDE Rihards,GCK Lions Zurich,lat,2017,1.81,172,19.98904109589041,1,0.0
214,DZIERKALS Martins,Rouyn-Noranda Huskies,lat,2017,1.83,170,19.75890410958904,1,0.0
215,KRASTENBERGS Renars,Oshawa Generals,lat,2017,1.83,176,18.03013698630137,1,0.0
216,KLAVINS Erlends,Omaha Lancers,lat,2017,1.87,181,18.90958904109589,1,0.0
