,name,club,team,year,height,weight,age,tournament,NHL
68,BAROS Samuel,Orange 20 Bratislava,svk,2014,1.82,181,19.904109589041095,1,0.0
69,GODLA Denis,Slovan Bratislava,svk,2014,1.80,176,18.75890410958904,1,0.0
70,LUZA Patrik,Orange 20 Bratislava,svk,2014,1.84,212,19.446575342465753,1,0.0
71,VALJENT Michal,Orange 20 Bratislava,svk,2014,1.86,205,19.802739726027397,1,0.0
72,KECKES Martin,HC Karlovy Vary,svk,2014,1.93,205,19.835616438356166,1,0.0
73,PREDAJNIANSKY Jakub,Orange 20 Bratislava,svk,2014,1.85,198,19.92876712328767,1,0.0
74,KOLENA Milan,Orange 20 Bratislava,svk,2014,1.86,187,19.654794520547945,1,0.0
75,REWAY Martin,Gatineau Olympiques,svk,2014,1.78,172,18.95068493150685,1,0.0
76,GRIGER David,HC Karlovy Vary,svk,2014,1.78,176,19.106849315068494,1,0.0
77,RUSINA Tomas,Orange 20 Bratislava,svk,2014,1.82,192,19.93972602739726,1,0.0
78,CERNAK Erik,Orange 20 Bratislava,svk,2014,1.92,203,16.60821917808219,1,0.0
79,LUNTER Mario,HC 05 Banska Bystrica,svk,2014,1.82,181,19.54794520547945,1,0.0
80,SIMUN Eduard,Orange 20 Bratislava,svk,2014,1.93,220,19.027397260273972,1,0.0
81,MINARIK David,Orange 20 Bratislava,svk,2014,1.76,179,19.235616438356164,1,0.0
82,GACHULINEC Daniel,Orange 20 Bratislava,svk,2014,1.79,174,19.887671232876713,1,0.0
83,DANO Marko,Slovan Bratislava,svk,2014,1.82,214,19.101369863013698,1,0.0
84,HORANSKY Stanislav,Orange 20 Bratislava,svk,2014,1.84,185,19.863013698630137,1,0.0
85,CEHLARIK Peter,Lulea HF,svk,2014,1.88,196,18.43013698630137,1,0.0
86,TIBENSKY Jozef,Orange 20 Bratislava,svk,2014,1.78,194,19.783561643835615,1,0.0
87,MLYNCAR Filip,Orange 20 Bratislava,svk,2014,1.86,174,19.627397260273973,1,0.0
88,DINDA Lubomir,Orange 20 Bratislava,svk,2014,1.80,176,19.52054794520548,1,0.0
89,SKALICKY Pavol,Orange 20 Bratislava,svk,2014,1.95,198,18.243835616438357,1,0.0
90,SABOL Richard,Orange 20 Bratislava,svk,2014,1.80,176,19.931506849315067,1,0.0
91,CUPPER Marvin,Shawinigan Cataractes,ger,2014,1.79,179,19.887671232876713,1,0.0
92,BENDER Tim,London Knights,ger,2014,1.82,176,18.802739726027397,1,0.0
93,BOTZENHARDT Thomas,EV Ravensburg,ger,2014,1.90,220,19.56986301369863,1,0.0
94,TUOMIE Parker,Wenatchee Wild,ger,2014,1.77,170,18.183561643835617,1,0.0
95,TIFFELS Dominik,Minnesota Wilderness,ger,2014,1.79,176,19.876712328767123,1,0.0
96,LAUB Lukas,Odessa Jackalopes,ger,2014,1.80,168,19.60821917808219,1,0.0
97,NEUGEBAUER Jari,DEG Dusseldorf,ger,2014,1.78,174,19.21095890410959,1,0.0
98,EISENSCHMID Markus,Medicine Hat Tigers,ger,2014,1.83,172,18.956164383561642,1,0.0
99,SAEFTEL Dorian,Adler Mannheim,ger,2014,1.90,205,18.720547945205478,1,0.0
100,HERPICH Kai,Red Bull Salzburg,ger,2014,1.80,207,19.073972602739726,1,0.0
101,NOSKE Jonas,DEG Dusseldorf,ger,2014,1.86,176,18.824657534246576,1,0.0
102,DRAISAITL Leon,Prince Albert Raiders,ger,2014,1.88,198,18.194520547945206,1,0.0
103,WAGNER Fabio,EV Landshut,ger,2014,1.80,187,18.304109589041097,1,0.0
104,TIFFELS Frederik,Fargo Force,ger,2014,1.83,190,18.632876712328766,1,0.0
105,MOSER Janik,Muskegon Lumberjacks,ger,2014,1.80,183,18.279452054794522,1,0.0
106,ZIEGLER Sven,Eisbaren Berlin,ger,2014,1.85,179,19.435616438356163,1,0.0
107,KAHUN Dominik,Sudbury Wolves,ger,2014,1.78,172,18.515068493150686,1,0.0
108,PALAUSCH Lennart,Aberdeen Wings,ger,2014,1.84,198,19.361643835616437,1,0.0
109,KLOPPER Patrick,Krefeld Pinguine,ger,2014,1.80,170,19.82191780821918,1,0.0
110,KAMMERER Maximilian,Regina Pats,ger,2014,1.84,159,17.27123287671233,1,0.0
111,FILIN Vladislav,Eisbaren Berlin,ger,2014,1.84,176,18.8,1,0.0
112,KLEIN Patrick,EV Duisburg,ger,2014,1.82,185,20.013698630136986,1,0.0
113,REICH Kevin,Red Bull Salzburg,ger,2014,1.86,198,18.197260273972603,1,0.0
114,HOGBERG Marcus,Linkopings HC,swe,2014,1.95,212,19.115068493150684,1,0.0
115,NORELL Robin,Djurgarden Stockholm,swe,2014,1.80,192,18.882191780821916,1,0.0
116,DJOOS Christian,Brynas Gavle,swe,2014,1.81,159,19.41917808219178,1,0.0
117,JOHNSON Andreas,Frolunda Gothenburg,swe,2014,1.78,176,19.126027397260273,1,0.0
118,PETTERSSON Jesper,Linkopings HC,swe,2014,1.75,187,19.476712328767125,1,0.0
119,ARNESSON Linus,Djurgarden Stockholm,swe,2014,1.87,192,19.293150684931508,1,0.0
120,de la ROSE Jacob,Leksands IF,swe,2014,1.89,190,18.632876712328766,1,0.0
121,WENNBERG Alexander,Frolunda Gothenburg,swe,2014,1.86,187,19.29041095890411,1,0.0
122,OLOFSSON Gustav,Colorado College,swe,2014,1.88,190,19.0986301369863,1,0.0
123,HAGG Robert,MODO Ornskoldsvik,swe,2014,1.88,207,18.90958904109589,1,0.0
124,COLLBERG Sebastian,Frolunda Gothenburg,swe,2014,1.80,181,19.86849315068493,1,0.0
125,FORSBERG Filip,Nashville Predators,swe,2014,1.87,194,19.4,1,1.0
126,BURAKOWSKY Andre,Erie Otters,swe,2014,1.86,179,18.90684931506849,1,0.0
